"method","path","controller","methodName","mobile","admin_dashboard","brand_dashboard"
"GET","/api/v1/admin/audit","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminAuditController.java","listAuditLogs","","",""
"GET","/api/v1/admin/audit/export","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminAuditController.java","exportAuditLogs","","",""
"GET","/api/v1/admin/campaign-management","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignManagementController.java","listCampaigns","","",""
"POST","/api/v1/admin/campaign-management","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignManagementController.java","createCampaign","","",""
"DELETE","/api/v1/admin/campaign-management/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignManagementController.java","deleteCampaign","","admin-dashboard\lib\api\admin\campaign-management.ts",""
"GET","/api/v1/admin/campaign-management/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignManagementController.java","getCampaign","","",""
"PUT","/api/v1/admin/campaign-management/{param}","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignManagementController.java","updateCampaign","","",""
"GET","/api/v1/admin/campaign-management/{param}/applications","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignManagementController.java","listApplications","","",""
"GET","/api/v1/admin/campaign-management/{param}/deliverables","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignManagementController.java","listDeliverables","","",""
"POST","/api/v1/admin/campaign-management/{param}/invite","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignManagementController.java","inviteCreator","","",""
"GET","/api/v1/admin/campaign-management/applications","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignManagementController.java","listAllApplications","","",""
"POST","/api/v1/admin/campaign-management/applications/{param}/reject","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignManagementController.java","rejectApplication","","admin-dashboard\lib\api\admin\campaign-management.ts",""
"POST","/api/v1/admin/campaign-management/applications/{param}/select","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignManagementController.java","selectApplication","","admin-dashboard\lib\api\admin\campaign-management.ts",""
"POST","/api/v1/admin/campaign-management/applications/{param}/shortlist","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignManagementController.java","shortlistApplication","","admin-dashboard\lib\api\admin\campaign-management.ts",""
"PUT","/api/v1/admin/campaign-management/applications/{param}/status","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignManagementController.java","updateApplicationStatus","","admin-dashboard\lib\api\admin\campaign-management.ts",""
"POST","/api/v1/admin/campaign-management/applications/bulk-status","backend\creatorx-api\src\main\java\com\creatorx\api\controller\AdminCampaignManagementController.java","bulkUpdateApplications","","admin-dashboard\lib\api\admin\campaign-management.ts",""
